id_paax,actor_name,regional_mena
CON_18,Bahrain,1
CON_75,Iraq,1
CON_76,Israel,1
CON_77,Syrian Arab Republic,1
CON_78,Jordan,1
CON_79,Lebanon,1
CON_82,Egypt,1
CON_158,Sudan,1
CON_228,Morocco,1
CON_248,Djibouti,1
CON_255,Algeria,1
CON_285,Libya,1
CON_289,Iran (Islamic Republic of),1
CON_304,Yemen,1
CON_358,Somalia,1
CON_387,Mauritania,1
CON_395,Pakistan,1
CON_419,Saudi Arabia,1
CON_486,Qatar,1
CON_563,Kuwait,1
CON_590,Tunisia,1
CON_591,United Arab Emirates,1
CON_606,Oman,1
CON_614,Malta,1
ENT_739,Palestine,1
