country,year,month,best
Afghanistan,2023,1,54
Afghanistan,2023,2,21
Afghanistan,2023,3,47
Afghanistan,2023,4,52
Afghanistan,2023,5,16
Afghanistan,2023,6,24
Afghanistan,2023,7,15
Afghanistan,2023,8,22
Afghanistan,2023,9,5
Afghanistan,2023,10,49
Afghanistan,2023,11,21
Afghanistan,2023,12,9
Afghanistan,2024,1,26
Afghanistan,2024,2,1
Afghanistan,2024,3,56
Afghanistan,2024,4,12
Afghanistan,2024,5,47
Afghanistan,2024,6,15
Afghanistan,2024,7,17
Afghanistan,2024,8,16
Afghanistan,2024,9,45
Afghanistan,2024,10,15
Afghanistan,2024,11,17
Afghanistan,2024,12,88
Syria,2023,1,148
Syria,2023,2,174
Syria,2023,3,147
Syria,2023,4,138
Syria,2023,5,74
Syria,2023,6,126
Syria,2023,7,114
Syria,2023,8,255
Syria,2023,9,259
Syria,2023,10,399
Syria,2023,11,192
Syria,2023,12,164
Syria,2024,1,162
Syria,2024,2,253
Syria,2024,3,360
Syria,2024,4,207
Syria,2024,5,163
Syria,2024,6,169
Syria,2024,7,122
Syria,2024,8,148
Syria,2024,9,200
Syria,2024,10,226
Syria,2024,11,731
Syria,2024,12,886
Libya,2023,1,0
Libya,2023,2,0
Libya,2023,3,0
Libya,2023,4,0
Libya,2023,5,2
Libya,2023,6,0
Libya,2023,7,0
Libya,2023,8,0
Libya,2023,9,0
Libya,2023,10,0
Libya,2023,11,0
Libya,2023,12,0
Libya,2024,1,0
Libya,2024,2,0
Libya,2024,3,0
Libya,2024,4,0
Libya,2024,5,0
Libya,2024,6,3
Libya,2024,7,3
Libya,2024,8,0
Libya,2024,9,3
Libya,2024,10,0
Libya,2024,11,0
Libya,2024,12,0
Sudan,2018,1,12
Sudan,2018,2,74
Sudan,2018,3,50
Sudan,2018,4,24
Sudan,2018,5,60
Sudan,2018,6,34
Sudan,2018,7,42
Sudan,2018,8,3
Sudan,2018,9,50
Sudan,2018,10,9
Sudan,2018,11,51
Sudan,2018,12,23
Sudan,2019,1,64
Sudan,2019,2,14
Sudan,2019,3,11
Sudan,2019,4,23
Sudan,2019,5,12
Sudan,2019,6,115
Sudan,2019,7,8
Sudan,2019,8,66
Sudan,2019,9,5
Sudan,2019,10,2
Sudan,2019,11,16
Sudan,2019,12,99
Sudan,2020,1,88
Sudan,2020,2,1
Sudan,2020,3,15
Sudan,2020,4,11
Sudan,2020,5,183
Sudan,2020,6,47
Sudan,2020,7,170
Sudan,2020,8,41
Sudan,2020,9,9
Sudan,2020,10,20
Sudan,2020,11,3
Sudan,2020,12,39
Sudan,2021,1,269
Sudan,2021,2,2
Sudan,2021,3,15
Sudan,2021,4,147
Sudan,2021,5,24
Sudan,2021,6,90
Sudan,2021,7,23
Sudan,2021,8,20
Sudan,2021,9,3
Sudan,2021,10,17
Sudan,2021,11,90
Sudan,2021,12,162
Sudan,2022,1,45
Sudan,2022,2,41
Sudan,2022,3,195
Sudan,2022,4,251
Sudan,2022,5,20
Sudan,2022,6,207
Sudan,2022,7,127
Sudan,2022,8,21
Sudan,2022,9,85
Sudan,2022,10,296
Sudan,2022,11,81
Sudan,2022,12,38
Sudan,2023,1,0
Sudan,2023,2,29
Sudan,2023,3,0
Sudan,2023,4,1146
Sudan,2023,5,1225
Sudan,2023,6,619
Sudan,2023,7,551
Sudan,2023,8,672
Sudan,2023,9,440
Sudan,2023,10,583
Sudan,2023,11,2102
Sudan,2023,12,384
Sudan,2024,1,342
Sudan,2024,2,386
Sudan,2024,3,287
Sudan,2024,4,351
Sudan,2024,5,507
Sudan,2024,6,716
Sudan,2024,7,468
Sudan,2024,8,467
Sudan,2024,9,553
Sudan,2024,10,1333
Sudan,2024,11,736
Sudan,2024,12,660
