year,month,country,best
2018,1,Afghanistan,1823
2018,2,Afghanistan,1497
2018,3,Afghanistan,1511
2018,4,Afghanistan,1954
2018,5,Afghanistan,2500
2018,6,Afghanistan,1773
2018,7,Afghanistan,3176
2018,8,Afghanistan,2471
2018,9,Afghanistan,2427
2018,10,Afghanistan,2457
2018,11,Afghanistan,2901
2018,12,Afghanistan,2399
2019,1,Afghanistan,2253
2019,2,Afghanistan,1699
2019,3,Afghanistan,2410
2019,4,Afghanistan,2154
2019,5,Afghanistan,2812
2019,6,Afghanistan,2734
2019,7,Afghanistan,3820
2019,8,Afghanistan,2854
2019,9,Afghanistan,3526
2019,10,Afghanistan,2504
2019,11,Afghanistan,1633
2019,12,Afghanistan,2036
2020,1,Afghanistan,1697
2020,2,Afghanistan,2805
2020,3,Afghanistan,1190
2020,4,Afghanistan,1036
2020,5,Afghanistan,1166
2020,6,Afghanistan,1478
2020,7,Afghanistan,1567
2020,8,Afghanistan,1392
2020,9,Afghanistan,1778
2020,10,Afghanistan,2724
2020,11,Afghanistan,1938
2020,12,Afghanistan,2063
2021,1,Afghanistan,2707
2021,2,Afghanistan,2043
2021,3,Afghanistan,1774
2021,4,Afghanistan,2828
2021,5,Afghanistan,4995
2021,6,Afghanistan,7662
2021,7,Afghanistan,8438
2021,8,Afghanistan,5097
2021,9,Afghanistan,508
2021,10,Afghanistan,234
2021,11,Afghanistan,72
2021,12,Afghanistan,28
2022,1,Afghanistan,42
2022,2,Afghanistan,19
2022,3,Afghanistan,46
2022,4,Afghanistan,372
2022,5,Afghanistan,198
2022,6,Afghanistan,152
2022,7,Afghanistan,68
2022,8,Afghanistan,82
2022,9,Afghanistan,331
2022,10,Afghanistan,109
2022,11,Afghanistan,46
2022,12,Afghanistan,103
2023,1,Afghanistan,54
2023,2,Afghanistan,21
2023,3,Afghanistan,47
2023,4,Afghanistan,52
2023,5,Afghanistan,16
2023,6,Afghanistan,24
2023,7,Afghanistan,15
2023,8,Afghanistan,22
2023,9,Afghanistan,5
2023,10,Afghanistan,49
2023,11,Afghanistan,21
2023,12,Afghanistan,9
2018,1,Israel,4
2018,2,Israel,2
2018,3,Israel,23
2018,4,Israel,2
2018,5,Israel,4
2018,6,Israel,1
2018,7,Israel,12
2018,8,Israel,5
2018,11,Israel,15
2018,12,Israel,7
2019,1,Israel,2
2019,3,Israel,5
2019,4,Israel,1
2019,5,Israel,30
2019,8,Israel,6
2019,11,Israel,35
2019,12,Israel,4
2020,1,Israel,3
2020,2,Israel,3
2020,5,Israel,2
2021,4,Israel,1
2021,5,Israel,254
2021,6,Israel,3
2021,7,Israel,1
2021,8,Israel,9
2021,9,Israel,6
2021,11,Israel,3
2021,12,Israel,3
2022,1,Israel,3
2022,2,Israel,3
2022,3,Israel,4
2022,4,Israel,11
2022,5,Israel,5
2022,6,Israel,4
2022,7,Israel,2
2022,8,Israel,30
2022,9,Israel,10
2022,10,Israel,11
2022,11,Israel,9
2022,12,Israel,6
2023,1,Israel,22
2023,2,Israel,20
2023,3,Israel,17
2023,4,Israel,1
2023,5,Israel,52
2023,6,Israel,17
2023,7,Israel,21
2023,8,Israel,12
2023,9,Israel,9
2023,10,Israel,9944
2023,11,Israel,6211
2023,12,Israel,7097
2018,1,Libya,6
2018,2,Libya,26
2018,3,Libya,27
2018,4,Libya,5
2018,5,Libya,181
2018,6,Libya,166
2018,7,Libya,16
2018,8,Libya,92
2018,9,Libya,87
2018,10,Libya,20
2018,11,Libya,29
2018,12,Libya,15
2019,1,Libya,6
2019,2,Libya,124
2019,3,Libya,1
2019,4,Libya,905
2019,5,Libya,64
2019,6,Libya,107
2019,7,Libya,111
2019,8,Libya,169
2019,9,Libya,127
2019,10,Libya,72
2019,11,Libya,36
2019,12,Libya,64
2020,1,Libya,90
2020,2,Libya,38
2020,3,Libya,156
2020,4,Libya,79
2020,5,Libya,228
2020,6,Libya,72
2020,7,Libya,6
2020,8,Libya,6
2020,9,Libya,14
2020,10,Libya,0
2021,2,Libya,7
2021,3,Libya,2
2021,6,Libya,3
2022,1,Libya,10
2022,3,Libya,0
2022,4,Libya,0
2022,9,Libya,3
2023,5,Libya,2
2018,1,Sudan,12
2018,2,Sudan,74
2018,3,Sudan,50
2018,4,Sudan,24
2018,5,Sudan,60
2018,6,Sudan,34
2018,7,Sudan,42
2018,8,Sudan,3
2018,9,Sudan,50
2018,10,Sudan,9
2018,11,Sudan,51
2018,12,Sudan,23
2019,1,Sudan,64
2019,2,Sudan,14
2019,3,Sudan,11
2019,4,Sudan,23
2019,5,Sudan,12
2019,6,Sudan,115
2019,7,Sudan,8
2019,8,Sudan,66
2019,9,Sudan,5
2019,10,Sudan,2
2019,11,Sudan,16
2019,12,Sudan,99
2020,1,Sudan,88
2020,2,Sudan,1
2020,3,Sudan,15
2020,4,Sudan,11
2020,5,Sudan,183
2020,6,Sudan,47
2020,7,Sudan,170
2020,8,Sudan,41
2020,9,Sudan,9
2020,10,Sudan,20
2020,11,Sudan,3
2020,12,Sudan,39
2021,1,Sudan,269
2021,2,Sudan,2
2021,3,Sudan,15
2021,4,Sudan,147
2021,5,Sudan,24
2021,6,Sudan,90
2021,7,Sudan,23
2021,8,Sudan,20
2021,9,Sudan,3
2021,10,Sudan,17
2021,11,Sudan,90
2021,12,Sudan,162
2022,1,Sudan,45
2022,2,Sudan,41
2022,3,Sudan,195
2022,4,Sudan,251
2022,5,Sudan,20
2022,6,Sudan,207
2022,7,Sudan,127
2022,8,Sudan,21
2022,9,Sudan,85
2022,10,Sudan,296
2022,11,Sudan,81
2022,12,Sudan,38
2023,2,Sudan,29
2023,4,Sudan,1146
2023,5,Sudan,1225
2023,6,Sudan,619
2023,7,Sudan,551
2023,8,Sudan,672
2023,9,Sudan,440
2023,10,Sudan,583
2023,11,Sudan,2102
2023,12,Sudan,384
2018,1,Syria,3165
2018,2,Syria,3279
2018,3,Syria,3904
2018,4,Syria,1621
2018,5,Syria,1156
2018,6,Syria,1650
2018,7,Syria,1629
2018,8,Syria,643
2018,9,Syria,921
2018,10,Syria,1068
2018,11,Syria,1228
2018,12,Syria,1462
2019,1,Syria,1074
2019,2,Syria,496
2019,3,Syria,953
2019,4,Syria,525
2019,5,Syria,1187
2019,6,Syria,1265
2019,7,Syria,977
2019,8,Syria,1441
2019,9,Syria,193
2019,10,Syria,1328
2019,11,Syria,834
2019,12,Syria,935
2020,1,Syria,1488
2020,2,Syria,1554
2020,3,Syria,442
2020,4,Syria,224
2020,5,Syria,294
2020,6,Syria,300
2020,7,Syria,285
2020,8,Syria,158
2020,9,Syria,165
2020,10,Syria,223
2020,11,Syria,265
2020,12,Syria,292
2021,1,Syria,277
2021,2,Syria,225
2021,3,Syria,238
2021,4,Syria,192
2021,5,Syria,144
2021,6,Syria,183
2021,7,Syria,161
2021,8,Syria,99
2021,9,Syria,93
2021,10,Syria,130
2021,11,Syria,107
2021,12,Syria,99
2022,1,Syria,440
2022,2,Syria,129
2022,3,Syria,70
2022,4,Syria,84
2022,5,Syria,90
2022,6,Syria,100
2022,7,Syria,85
2022,8,Syria,134
2022,9,Syria,115
2022,10,Syria,117
2022,11,Syria,155
2022,12,Syria,152
2023,1,Syria,148
2023,2,Syria,174
2023,3,Syria,147
2023,4,Syria,138
2023,5,Syria,74
2023,6,Syria,126
2023,7,Syria,114
2023,8,Syria,255
2023,9,Syria,259
2023,10,Syria,399
2023,11,Syria,192
2023,12,Syria,164
2018,1,Yemen,439
2018,2,Yemen,259
2018,3,Yemen,168
2018,4,Yemen,293
2018,5,Yemen,503
2018,6,Yemen,725
2018,7,Yemen,594
2018,8,Yemen,389
2018,9,Yemen,319
2018,10,Yemen,394
2018,11,Yemen,741
2018,12,Yemen,169
2019,1,Yemen,387
2019,2,Yemen,217
2019,3,Yemen,508
2019,4,Yemen,444
2019,5,Yemen,356
2019,6,Yemen,59
2019,7,Yemen,85
2019,8,Yemen,427
2019,9,Yemen,204
2019,10,Yemen,133
2019,11,Yemen,92
2019,12,Yemen,47
2020,1,Yemen,1003
2020,2,Yemen,504
2020,3,Yemen,659
2020,4,Yemen,572
2020,5,Yemen,260
2020,6,Yemen,410
2020,7,Yemen,179
2020,8,Yemen,1482
2020,9,Yemen,421
2020,10,Yemen,743
2020,11,Yemen,384
2020,12,Yemen,131
2021,1,Yemen,298
2021,2,Yemen,3071
2021,3,Yemen,790
2021,4,Yemen,816
2021,5,Yemen,229
2021,6,Yemen,8920
2021,7,Yemen,667
2021,8,Yemen,634
2021,9,Yemen,1017
2021,10,Yemen,3257
2021,11,Yemen,2482
2021,12,Yemen,1282
2022,1,Yemen,1768
2022,2,Yemen,502
2022,3,Yemen,205
2022,4,Yemen,90
2022,5,Yemen,55
2022,6,Yemen,55
2022,7,Yemen,69
2022,8,Yemen,90
2022,9,Yemen,147
2022,10,Yemen,83
2022,11,Yemen,69
2022,12,Yemen,87
2023,1,Yemen,97
2023,2,Yemen,84
2023,3,Yemen,154
2023,4,Yemen,39
2023,5,Yemen,48
2023,6,Yemen,30
2023,7,Yemen,55
2023,8,Yemen,105
2023,9,Yemen,194
2023,10,Yemen,53
2023,11,Yemen,40
2023,12,Yemen,11
